iter	Passed	Remaining
0	66	3316746
1	124	3100386
2	183	3055583
3	239	2997357
4	298	2982344
5	355	2958827
6	409	2927905
7	468	2929636
8	525	2916758
9	580	2899909
10	638	2902225
11	696	2902266
12	755	2905407
13	813	2905202
14	872	2908623
15	929	2903084
16	983	2893009
17	1039	2886653
18	1094	2879334
19	1149	2873228
20	1205	2869892
21	1261	2866553
22	1317	2862235
23	1372	2858071
24	1427	2853719
25	1482	2849515
26	1536	2843635
27	1591	2840804
28	1648	2840997
29	1707	2844157
30	1766	2848094
31	1826	2852513
32	1886	2855759
33	1951	2867411
34	2011	2870926
35	2071	2875049
36	2131	2878177
37	2195	2886907
38	2258	2893179
39	2317	2894648
40	2375	2894819
41	2432	2893000
42	2490	2893700
43	2548	2893142
44	2608	2895605
45	2667	2897145
46	2725	2897140
47	2780	2893358
48	2835	2890733
49	2891	2888859
50	2952	2891469
51	3014	2895293
52	3072	2895481
53	3131	2896811
54	3190	2897092
55	3251	2899985
56	3307	2898332
57	3367	2899715
58	3427	2901430
59	3483	2899236
60	3540	2898421
61	3594	2895494
62	3649	2893078
63	3709	2894203
64	3765	2892768
65	3824	2893876
66	3880	2891976
67	3935	2890068
68	3991	2888360
69	4047	2886886
70	4108	2889056
71	4170	2892302
72	4226	2890883
73	4289	2893775
74	4353	2897802
75	4409	2896680
76	4467	2896580
77	4531	2900023
78	4588	2899497
79	4644	2898169
80	4703	2898486
81	4763	2900102
82	4828	2903643
83	4888	2905102
84	4952	2908198
85	5008	2907031
86	5066	2906900
87	5131	2910264
88	5186	2908456
89	5244	2908250
90	5302	2908313
91	5357	2906411
92	5407	2901653
93	5460	2899114
94	5514	2896729
95	5569	2895255
96	5624	2893402
97	5677	2891146
98	5731	2889215
99	5786	2887461
100	5841	2885762
101	5895	2883891
102	5950	2882852
103	6005	2881280
104	6052	2876294
105	6106	2874381
106	6162	2873636
107	6210	2868814
108	6263	2867059
109	6319	2866020
110	6377	2866373
111	6431	2864797
112	6486	2863669
113	6540	2862158
114	6602	2864130
115	6664	2866054
116	6719	2864813
117	6771	2862669
118	6829	2862612
119	6883	2861063
120	6940	2860976
121	6992	2858906
122	7048	2858301
123	7101	2856386
124	7153	2854380
125	7207	2853074
126	7262	2851809
127	7316	2850676
128	7376	2851764
129	7430	2850624
130	7482	2848552
131	7542	2849428
132	7594	2847398
133	7649	2846692
134	7708	2847136
135	7761	2845857
136	7815	2844499
137	7869	2843549
138	7929	2844355
139	7984	2843581
140	8042	2844022
141	8099	2843769
142	8155	2843487
143	8209	2842143
144	8263	2841117
145	8317	2840266
146	8373	2839757
147	8429	2839402
148	8482	2837857
149	8534	2836289
150	8590	2836057
151	8645	2835294
152	8700	2834540
153	8754	2833614
154	8809	2832999
155	8862	2831808
156	8920	2832016
157	8975	2831386
158	9028	2830051
159	9082	2829227
160	9137	2828486
161	9196	2829242
162	9251	2828605
163	9304	2827456
164	9360	2827244
165	9415	2826511
166	9471	2826387
167	9523	2824950
168	9578	2824251
169	9631	2823208
170	9685	2822327
171	9740	2821830
172	9794	2821125
173	9850	2820612
174	9906	2820510
175	9957	2818957
176	10012	2818317
177	10067	2817785
178	10121	2817005
179	10177	2817008
180	10233	2816696
181	10289	2816360
182	10342	2815525
