id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
750003,58,blue-collar,married,secondary,no,-1380,yes,yes,unknown,29,may,125,1,-1,0,unknown,0
750013,52,technician,divorced,secondary,no,-1,no,yes,cellular,8,jul,121,2,-1,0,unknown,0
750016,36,technician,single,secondary,no,-330,yes,no,unknown,27,may,88,2,-1,0,unknown,0
750022,56,technician,married,secondary,no,778,no,no,unknown,19,jun,75,1,-1,0,unknown,0
750029,32,housemaid,married,secondary,no,3733,no,no,cellular,13,sep,272,4,186,1,success,1
750036,43,management,divorced,tertiary,no,0,no,no,cellular,29,aug,85,2,-1,0,unknown,0
750055,44,technician,married,secondary,no,-158,yes,no,unknown,26,may,126,8,-1,0,unknown,0
750068,51,unknown,married,unknown,no,0,no,no,cellular,18,aug,90,8,-1,0,unknown,0
750071,53,technician,married,secondary,no,697,no,no,telephone,13,nov,396,2,92,1,success,1
750075,33,blue-collar,married,primary,no,2,yes,no,cellular,24,jul,121,11,-1,0,unknown,0
750078,49,management,married,primary,no,588,yes,no,cellular,29,jan,76,2,169,2,failure,0
750096,59,retired,married,unknown,no,1849,yes,no,unknown,5,may,92,2,-1,0,unknown,0
750102,35,technician,single,secondary,no,16,yes,no,unknown,6,jun,85,3,-1,0,unknown,0
750113,47,services,married,secondary,no,0,no,no,unknown,9,jun,57,1,-1,0,unknown,0
750121,47,blue-collar,married,secondary,no,0,no,no,cellular,19,aug,92,4,-1,0,unknown,0
750132,44,blue-collar,married,secondary,no,0,yes,no,unknown,12,may,77,3,-1,0,unknown,0
750133,47,blue-collar,married,secondary,no,519,yes,yes,unknown,16,may,119,1,-1,0,unknown,0
750137,48,technician,married,secondary,no,5,no,no,cellular,18,aug,71,8,-1,0,unknown,0
750139,31,technician,single,tertiary,no,703,yes,no,unknown,5,may,122,2,-1,0,unknown,0
750140,46,entrepreneur,married,tertiary,no,3944,no,yes,unknown,20,jun,73,9,-1,0,unknown,0
750151,21,student,single,secondary,no,682,no,no,cellular,30,apr,225,1,181,7,success,1
750158,39,technician,divorced,secondary,no,463,yes,yes,unknown,20,jun,5,5,-1,0,unknown,0
750169,36,technician,single,tertiary,no,0,no,no,cellular,29,aug,90,3,-1,0,unknown,0
750184,55,technician,married,secondary,no,676,yes,yes,cellular,19,nov,77,1,-1,0,unknown,0
750195,47,services,married,secondary,no,0,no,no,unknown,5,may,124,1,-1,0,unknown,0
750205,34,blue-collar,married,secondary,no,43,yes,no,unknown,2,jun,97,2,-1,0,unknown,0
750207,50,admin.,married,secondary,no,-2,no,no,unknown,5,may,114,1,-1,0,unknown,0
750208,55,services,married,primary,no,2225,yes,no,unknown,30,may,65,2,-1,0,unknown,0
750223,34,management,married,tertiary,no,631,yes,no,cellular,22,jul,1407,2,-1,0,unknown,1
750227,57,services,married,primary,no,-79,yes,yes,telephone,14,may,8,6,-1,0,unknown,0
750232,32,blue-collar,single,secondary,no,-177,yes,no,cellular,6,may,87,1,345,8,other,0
750250,47,blue-collar,married,primary,no,643,yes,no,unknown,13,may,81,1,-1,0,unknown,0
750255,56,blue-collar,married,primary,no,6791,yes,no,unknown,3,jun,122,1,-1,0,unknown,0
750256,48,management,married,tertiary,no,538,no,no,cellular,4,may,212,1,90,5,success,1
750258,47,blue-collar,married,primary,no,827,yes,no,unknown,15,may,109,1,-1,0,unknown,0
750262,31,technician,married,secondary,no,-6,no,no,cellular,18,nov,89,3,-1,0,unknown,0
750264,50,technician,divorced,secondary,no,-133,no,no,cellular,28,jul,97,2,-1,0,unknown,0
750271,48,blue-collar,married,secondary,no,6,no,no,unknown,18,jun,64,1,-1,0,unknown,0
